CODIGO,DESCRIPCION,CANTIDAD,UBICACION,CATALOGO,PROVEEDOR,TIPO,ENTREGADO A:,REGRESO FECHA:,WEB SITE,IMAGEN,ID
F3608025,GIPSY,2,C02N06P04,GIPSY,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3608025-gipsy,https://static.pierrefrey.com/uploads/product/packshots/7a43d463-371d-4e7b-b6c6-8b5e8cd44f7c/H1Bnm9s1DSDHMYCUpArj_335x251_webp.webp,MUESTRA-375
F3608026,GIPSY,2,C02N06P04,GIPSY,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3608026-gipsy,https://static.pierrefrey.com/uploads/product/packshots/9f63ea9a-6749-43df-bba9-4607d455dbd5/w58ok3bZP7hb1RMDSrxi_335x251_webp.webp,MUESTRA-376
F3635001,CHENILLE IGOR,1,C02N06P05,CHENILLE IGOR,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3635001-chenille-igor,https://static.pierrefrey.com/uploads/product/packshots/70e6f879-90c6-408b-8f8f-cb62a706ef41/mJJNejwvOuHjetbQ3vYz_335x251_webp.webp,MUESTRA-377
F3635002,CHENILLE IGOR,1,C02N06P05,CHENILLE IGOR,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3635002-chenille-igor,https://static.pierrefrey.com/uploads/product/packshots/2b25ff1d-c127-4e8e-92cf-3574ca3815ef/chQf4ELVCuOFS6NIyd8P_335x251_webp.webp,MUESTRA-378
F3635003,CHENILLE IGOR,1,C02N06P05,CHENILLE IGOR,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3635003-chenille-igor,https://static.pierrefrey.com/uploads/product/packshots/bb61580a-e236-4b79-81ae-e83c888886ee/F2g18TjdBwUBWBLryYj5_335x251_webp.webp,MUESTRA-379
F3635004,CHENILLE IGOR,1,C02N06P05,CHENILLE IGOR,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3635004-chenille-igor,https://static.pierrefrey.com/uploads/product/packshots/d66ebcb9-ddda-437d-8fd7-fa3340ff3010/wfAHzRf72jEKa3XtuoZm_335x251_webp.webp,MUESTRA-380
F3635005,CHENILLE IGOR,1,C02N06P05,CHENILLE IGOR,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3635005-chenille-igor,https://static.pierrefrey.com/uploads/product/packshots/69696f1a-304d-42a8-966b-9ec937c26856/D0idV3cjSO57lXQVkHqn_335x251_webp.webp,MUESTRA-381
F3635006,CHENILLE IGOR,1,C02N06P05,CHENILLE IGOR,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3635006-chenille-igor,https://static.pierrefrey.com/uploads/product/packshots/56b3d0cc-152f-4832-b982-3a5c13587294/Smcmau1QTBELkEWcCRAQ_335x251_webp.webp,MUESTRA-382
F3635007,CHENILLE IGOR,1,C02N06P05,CHENILLE IGOR,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3635007-chenille-igor,https://static.pierrefrey.com/uploads/product/packshots/3c369ff9-9d6b-4534-a90d-d968cf09d44f/XfR1nFm4OP2l0e5K7mt2_335x251_webp.webp,MUESTRA-383
F3635008,CHENILLE IGOR,1,C02N06P05,CHENILLE IGOR,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3635008-chenille-igor,https://static.pierrefrey.com/uploads/product/packshots/6753c89b-1173-4cf8-b8aa-3aeb4db48b9e/fHGSgxlt7mrnkWalILeW_335x251_webp.webp,MUESTRA-384
F3635009,CHENILLE IGOR,2,C02N06P05,CHENILLE IGOR,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3635009-chenille-igor,https://static.pierrefrey.com/uploads/product/packshots/51143176-6a58-43c7-bfa0-12bb9759e00a/0RcpzB9QwFTPAEadmea4_335x251_webp.webp,MUESTRA-385
F3635010,CHENILLE IGOR,2,C02N06P05,CHENILLE IGOR,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3635010-chenille-igor,https://static.pierrefrey.com/uploads/product/packshots/f7667035-a953-47d1-adfc-7efdca18a581/Ho3DlPY33NnS2XR3vizF_335x251_webp.webp,MUESTRA-386
F3635011,CHENILLE IGOR,1,C02N06P05,CHENILLE IGOR,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3635011-chenille-igor,https://static.pierrefrey.com/uploads/product/packshots/a317bf48-dd31-4a85-a17d-45291770b3c6/dlzQDRZyitVdhNsg4VfG_335x251_webp.webp,MUESTRA-387
F3635012,CHENILLE IGOR,2,C02N06P05,CHENILLE IGOR,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3635012-chenille-igor,https://static.pierrefrey.com/uploads/product/packshots/55390e2e-40c6-4803-bc6e-7c2c61c12c2f/JH3mptJHH3fYPIKa67wX_335x251_webp.webp,MUESTRA-388
F3635013,CHENILLE IGOR,1,C02N06P05,CHENILLE IGOR,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3635013-chenille-igor,https://static.pierrefrey.com/uploads/product/packshots/901da151-0f92-4c1d-b6d4-50610a45b13d/VGSwc7S39yr2OzDG47WU_335x251_webp.webp,MUESTRA-389
F3635014,CHENILLE IGOR,1,C02N06P05,CHENILLE IGOR,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3635014-chenille-igor,https://static.pierrefrey.com/uploads/product/packshots/85b22bee-5f32-4eec-b8ce-c5e2aad5ae9d/bidU5M5mFm9X2Kw7Z1Ni_335x251_webp.webp,MUESTRA-390
F3635015,CHENILLE IGOR,1,C02N06P06,CHENILLE IGOR,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3635015-chenille-igor,https://static.pierrefrey.com/uploads/product/packshots/aae2b59a-26e3-47da-9fcb-ba8ea0de7cc2/Drebis6yhBlGRw8GuvRw_335x251_webp.webp,MUESTRA-391
F3635016,CHENILLE IGOR,1,C02N06P06,CHENILLE IGOR,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3635016-chenille-igor,https://static.pierrefrey.com/uploads/product/packshots/3baaf81e-da7c-4f4a-890c-2be00dcf8361/RIfAckoKVniiXlbcKVfG_335x251_webp.webp,MUESTRA-392
F3635017,CHENILLE IGOR,1,C02N06P06,CHENILLE IGOR,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3635017-chenille-igor,https://static.pierrefrey.com/uploads/product/packshots/a5d8c0c3-529b-490f-9214-ff71b97728db/RJJ19fzZDEqFAW6HGocf_335x251_webp.webp,MUESTRA-393
F3635018,CHENILLE IGOR,1,C02N06P06,CHENILLE IGOR,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3635018-chenille-igor,https://static.pierrefrey.com/uploads/product/packshots/7b37cb2b-3eed-4d42-9e30-22cdcb9ec5b9/mnhfFR82UjcTrYxxEpma_335x251_webp.webp,MUESTRA-394
F3635019,CHENILLE IGOR,1,C02N06P06,CHENILLE IGOR,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3635019-chenille-igor,https://static.pierrefrey.com/uploads/product/packshots/2080ddf4-18b6-4e60-bb52-58673c9dcfe4/7G8I864jLWgnGnXfdM5f_335x251_webp.webp,MUESTRA-395
F3635020,CHENILLE IGOR,1,C02N06P06,CHENILLE IGOR,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3635020-chenille-igor,https://static.pierrefrey.com/uploads/product/packshots/1be86f99-a4ec-4acc-a34a-bc1825c85133/EjzJy3bZXEmck0QcA9Yf_335x251_webp.webp,MUESTRA-396
F3635021,CHENILLE IGOR,1,C02N06P06,CHENILLE IGOR,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3635021-chenille-igor,https://static.pierrefrey.com/uploads/product/packshots/e5dbb249-3523-4443-b557-a6cd3e8f5d86/4qW3lehvqKaihYGAhmNM_335x251_webp.webp,MUESTRA-397
F3635022,CHENILLE IGOR,1,C02N06P06,CHENILLE IGOR,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3635022-chenille-igor,https://static.pierrefrey.com/uploads/product/packshots/ef1ad284-74ef-450f-aee2-46878bb695d1/bKWl7pBJbRq2PCxTXffJ_335x251_webp.webp,MUESTRA-398
F3635023,CHENILLE IGOR,1,C02N06P06,CHENILLE IGOR,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3635023-chenille-igor,https://static.pierrefrey.com/uploads/product/packshots/d326a83f-8fc2-41a8-b90f-e2cbf025e3c6/OYBnxv9SSdnLQ868VUzk_335x251_webp.webp,MUESTRA-399
F3635024,CHENILLE IGOR,1,C02N06P06,CHENILLE IGOR,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3635024-chenille-igor,https://static.pierrefrey.com/uploads/product/packshots/282e2290-d8ee-4264-af97-d33eefbb8e45/JsyTgaAQ3kc19x4fWJ9F_335x251_webp.webp,MUESTRA-400
F3635025,CHENILLE IGOR,1,C02N06P06,CHENILLE IGOR,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3635025-chenille-igor,https://static.pierrefrey.com/uploads/product/packshots/7e934dde-4144-4bed-887f-bdc1197139e3/VxgrhebUNjw1VS6hjLP4_335x251_webp.webp,MUESTRA-401
F3635026,CHENILLE IGOR,1,C02N06P06,CHENILLE IGOR,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3635026-chenille-igor,https://static.pierrefrey.com/uploads/product/packshots/b9096aa5-56a5-447f-bb58-c502549ae1f2/Z4kvKueGvq2kYNRRWKHB_335x251_webp.webp,MUESTRA-402
F3635027,CHENILLE IGOR,1,C02N06P06,CHENILLE IGOR,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3635027-chenille-igor,https://static.pierrefrey.com/uploads/product/packshots/00c266ac-3fac-4419-bc69-1bc83360dcaa/dXicyQpVqfa7S4jrtoG2_335x251_webp.webp,MUESTRA-403
F3635028,CHENILLE IGOR,1,C02N06P06,CHENILLE IGOR,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3635028-chenille-igor,https://static.pierrefrey.com/uploads/product/packshots/41613f4b-4c1f-4a2f-b230-8948094f5105/WyTKykkoThseJVvw03Bi_335x251_webp.webp,MUESTRA-404
F3636001,CHENILLE OLGA,2,C02N06P06,CHENILLE OLGA,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3636001-chenille-olga,https://static.pierrefrey.com/uploads/product/packshots/d0b48322-55b6-4aa0-bd29-5ce132aaea0f/Gz24J2dNry1Psb3beXMB_335x251_webp.webp,MUESTRA-405
F3637001,PYLA,2,C02N07P01,PYLA,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3637001-pyla,https://static.pierrefrey.com/uploads/product/packshots/f53d5b77-eee0-41d9-9bc1-0934f7552055/mZoWJaHqoG45aQgFWlKz_335x251_webp.webp,MUESTRA-406
F3637002,PYLA,2,C02N07P01,PYLA,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3637002-pyla,https://static.pierrefrey.com/uploads/product/packshots/7dd0785c-31a2-4971-a48f-75dc88b9d152/uKZF01HhS6dZM3YFpWcQ_335x251_webp.webp,MUESTRA-407
F3637003,PYLA,2,C02N07P01,PYLA,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3637003-pyla,https://static.pierrefrey.com/uploads/product/packshots/6d9e5036-e586-4563-8fe0-425c5481d93a/m4c1cRq6G5bS88FWY7H1_335x251_webp.webp,MUESTRA-408
F3637004,PYLA,2,C02N07P01,PYLA,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3637004-pyla,https://static.pierrefrey.com/uploads/product/packshots/91460e40-29b4-4e4f-9436-5d68420ba8ff/yUuuPzhyCR6F1dIWzBP0_335x251_webp.webp,MUESTRA-409
F3637005,PYLA,2,C02N07P01,PYLA,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3637005-pyla,https://static.pierrefrey.com/uploads/product/packshots/c945e83f-ca7d-42a3-a09f-f8813151b948/bLkMVO5VmGh7U39hA4P4_335x251_webp.webp,MUESTRA-410
F3637006,PYLA,2,C02N07P01,PYLA,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3637006-pyla,https://static.pierrefrey.com/uploads/product/packshots/ba1d4a58-17be-489b-ac1e-e6809445f187/v3syvwwdarVluWh9Wtni_335x251_webp.webp,MUESTRA-411
F3637007,PYLA,2,C02N07P01,PYLA,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3637007-pyla,https://static.pierrefrey.com/uploads/product/packshots/c32964af-768e-4dd9-a4ce-53b3a61ef4e6/v9KvFNSWEn0zq6F4AVar_335x251_webp.webp,MUESTRA-412
F3637008,PYLA,2,C02N07P01,PYLA,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3637008-pyla,https://static.pierrefrey.com/uploads/product/packshots/64c152c5-01ce-4cdc-8813-3648106adf18/mYQviL6FZUjgyrF6UBXQ_335x251_webp.webp,MUESTRA-413
F3637009,PYLA,2,C02N07P01,PYLA,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3637009-pyla,https://static.pierrefrey.com/uploads/product/packshots/2365f5a9-5db6-44fd-898a-b5ba2a2d8513/cE9Q0IPBQu0hJXafVKpy_335x251_webp.webp,MUESTRA-414
F3637010,PYLA,2,C02N07P01,PYLA,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3637010-pyla,https://static.pierrefrey.com/uploads/product/packshots/26b7b9a4-1e3a-4d28-92b5-f7c2088473f0/4yVP6va4dQUmUuyZ5AmO_335x251_webp.webp,MUESTRA-415
F3637011,PYLA,2,C02N07P02,PYLA,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3637011-pyla,https://static.pierrefrey.com/uploads/product/packshots/2f6bf960-bccd-4384-88a6-4706c54c4e2c/iiJ8NfQ6S0JpQzB7gtG7_335x251_webp.webp,MUESTRA-416
F3637012,PYLA,2,C02N07P02,PYLA,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3637012-pyla,https://static.pierrefrey.com/uploads/product/packshots/680d544e-6dd3-4424-b24e-8e261c4e4721/BD0GInilMtkkR27O43FO_335x251_webp.webp,MUESTRA-417
F3637013,PYLA,2,C02N07P02,PYLA,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3637013-pyla,https://static.pierrefrey.com/uploads/product/packshots/35f6307e-9f0b-4707-8003-dff4e59e51f1/6vCkQsMJfHq6sGOJLCr0_335x251_webp.webp,MUESTRA-418
F3637014,PYLA,2,C02N07P02,PYLA,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3637014-pyla,https://static.pierrefrey.com/uploads/product/packshots/306722aa-347f-4f26-adb8-49605ea8c4d2/KnuN2yT9BtodS0o45fNk_335x251_webp.webp,MUESTRA-419
F3637015,PYLA,2,C02N07P02,PYLA,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3637015-pyla,https://static.pierrefrey.com/uploads/product/packshots/ff676d00-741e-4b9d-b450-50fdf7f67bce/QzYXDHlg8ISpqnuUTJyF_335x251_webp.webp,MUESTRA-420
F3637016,PYLA,2,C02N07P02,PYLA,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3637016-pyla,https://static.pierrefrey.com/uploads/product/packshots/9da1f7d6-f3f9-4561-b38f-c334d751c16c/kT1qacfXmN8laCPKy1Oz_335x251_webp.webp,MUESTRA-421
F3637017,PYLA,2,C02N07P02,PYLA,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3637017-pyla,https://static.pierrefrey.com/uploads/product/packshots/eaef16e2-0b6d-4510-b41d-aa54d8573c94/gE0Jsn1hJ1CqN4h9v3mr_335x251_webp.webp,MUESTRA-422
F3637018,PYLA,2,C02N07P02,PYLA,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3637018-pyla,https://static.pierrefrey.com/uploads/product/packshots/6d53745e-8ee2-4691-989a-6d994ecf29f1/s76rp3kQ5II0lSDmyrkV_335x251_webp.webp,MUESTRA-423
F3637019,PYLA,2,C02N07P02,PYLA,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3637019-pyla,https://static.pierrefrey.com/uploads/product/packshots/182b4e1c-06e3-48a9-92c0-589103bf0c91/HHhUBizFQXoAzBQ6ZI2z_335x251_webp.webp,MUESTRA-424
F3637020,PYLA,2,C02N07P02,PYLA,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3637020-pyla,https://static.pierrefrey.com/uploads/product/packshots/a5a144d2-457c-4318-a803-b55f5109b630/PrQLmVZVHegVXhSAJBwX_335x251_webp.webp,MUESTRA-425
F3637021,PYLA,2,C02N07P02,PYLA,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3637021-pyla,https://static.pierrefrey.com/uploads/product/packshots/80659fd8-753c-4349-80bb-7e9d8d789245/NanO5ZymIuRdTHPuspwe_335x251_webp.webp,MUESTRA-426
F3637022,PYLA,2,C02N07P03,PYLA,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3637022-pyla,https://static.pierrefrey.com/uploads/product/packshots/2316ccc3-a9a1-4042-bc58-e2b0f25df623/GyWqgwWTUjsJzEhlIna6_335x251_webp.webp,MUESTRA-427
F3637023,PYLA,2,C02N07P03,PYLA,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3637023-pyla,https://static.pierrefrey.com/uploads/product/packshots/73519e85-5e70-4e67-8851-8d87f8fecc2c/9zu1TysK5HPGdobweZit_335x251_webp.webp,MUESTRA-428
F3637024,PYLA,2,C02N07P03,PYLA,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3637024-pyla,https://static.pierrefrey.com/uploads/product/packshots/c0d2ac4e-8cef-4176-bd53-37f397f747e9/CcanujCuWVMflrtqkKiM_335x251_webp.webp,MUESTRA-429
F3637025,PYLA,2,C02N07P03,PYLA,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3637025-pyla,https://static.pierrefrey.com/uploads/product/packshots/5160cf1f-a464-4247-b9a6-45f5345a094f/pL668RdjFSwoCYDaLImO_335x251_webp.webp,MUESTRA-430
F3637026,PYLA,2,C02N07P03,PYLA,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3637026-pyla,https://static.pierrefrey.com/uploads/product/packshots/3b47d3bb-f36c-4475-931c-67124c7e87c9/vntzQarzf4mvFZNkAh44_335x251_webp.webp,MUESTRA-431
F3637027,PYLA,2,C02N07P03,PYLA,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3637027-pyla,https://static.pierrefrey.com/uploads/product/packshots/b4016571-78cb-4ae2-9969-8873e124b9d6/kQtvhhnrurZf7Wdk9miB_335x251_webp.webp,MUESTRA-432
F3637028,PYLA,2,C02N07P03,PYLA,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3637028-pyla,https://static.pierrefrey.com/uploads/product/packshots/85272888-0014-4f65-bdd8-806cf72e7371/ruHfmCqoFpV7xkCoD8yj_335x251_webp.webp,MUESTRA-433
F3637029,PYLA,2,C02N07P03,PYLA,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3637029-pyla,https://static.pierrefrey.com/uploads/product/packshots/9526d0b8-6a66-4174-b9b9-599bfb05d2a9/pd3bqk2wC4kFRluQFZzw_335x251_webp.webp,MUESTRA-434
F3637030,PYLA,2,C02N07P03,PYLA,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3637030-pyla,https://static.pierrefrey.com/uploads/product/packshots/b4eb5fe8-41c6-4796-935b-32498c33926c/lvk0YltPg0ooAD2TDfUK_335x251_webp.webp,MUESTRA-435
F3637031,PYLA,2,C02N07P03,PYLA,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3637031-pyla,https://static.pierrefrey.com/uploads/product/packshots/1ec4125d-84ce-4626-a133-784670f04a48/IMOSWWlaE7ctocFyeNjM_335x251_webp.webp,MUESTRA-436
F3637032,PYLA,2,C02N07P03,PYLA,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3637032-pyla,https://static.pierrefrey.com/uploads/product/packshots/b780ceed-429a-42f0-94b6-12f6e9110936/KMT6HmbSXzeaWhuQgJIs_335x251_webp.webp,MUESTRA-437
F3638001,TARTARIN,2,C02N07P04,TARTARIN,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3638001-tartarin,https://static.pierrefrey.com/uploads/product/packshots/b4a92194-7d2b-4a36-8bc7-e584e1933738/BDiarPoKkXDr7zmeDaZl_335x251_webp.webp,MUESTRA-438
F3638002,TARTARIN,2,C02N07P04,TARTARIN,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3638002-tartarin,https://static.pierrefrey.com/uploads/product/packshots/2f3f483a-d601-46aa-9b8e-9733383604b0/XygsPss05gmwlINPt50Y_335x251_webp.webp,MUESTRA-439
F3638003,TARTARIN,2,C02N07P04,TARTARIN,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3638003-tartarin,https://static.pierrefrey.com/uploads/product/packshots/37978c43-9b08-42b6-a676-70993b153e63/gxJcPIQiDRHXSxPO6Juf_335x251_webp.webp,MUESTRA-440
F3638004,TARTARIN,2,C02N07P04,TARTARIN,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3638004-tartarin,https://static.pierrefrey.com/uploads/product/packshots/600183ad-b658-4649-9bf9-68ff0a7ea1f4/uJZKdf3s7kfgj5WFUxYY_335x251_webp.webp,MUESTRA-441
F3638005,TARTARIN,2,C02N07P04,TARTARIN,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3638005-tartarin,https://static.pierrefrey.com/uploads/product/packshots/c0e4f0f9-81b4-46eb-8bed-ad11f2cb06b0/6NRSgKKrVfryRqrge4RP_335x251_webp.webp,MUESTRA-442
F3638006,TARTARIN,2,C02N07P04,TARTARIN,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3638006-tartarin,https://static.pierrefrey.com/uploads/product/packshots/0cb090f2-0df9-4a7a-a960-92922dd7c295/oJZigUCKUmvvvKbBr8Jt_335x251_webp.webp,MUESTRA-443
F3638007,TARTARIN,2,C02N07P04,TARTARIN,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3638007-tartarin,https://static.pierrefrey.com/uploads/product/packshots/0eeebff4-9178-4498-8ad7-d713dd6166b4/NKcMfF5eSGN91VA3gMDK_335x251_webp.webp,MUESTRA-444
F3638008,TARTARIN,2,C02N07P04,TARTARIN,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3638008-tartarin,https://static.pierrefrey.com/uploads/product/packshots/bea18e64-d874-4a44-af7e-31bbfc2f47d3/U8U35Xa8OtECgcBkIMBY_335x251_webp.webp,MUESTRA-445
F3638009,TARTARIN,2,C02N07P04,TARTARIN,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3638009-tartarin,https://static.pierrefrey.com/uploads/product/packshots/be2fc345-dd82-4be9-9556-e3051e6bdc39/RK34YzT5rSvdCmtEL0qh_335x251_webp.webp,MUESTRA-446
F3638010,TARTARIN,2,C02N07P05,TARTARIN,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3638010-tartarin,https://static.pierrefrey.com/uploads/product/packshots/42176128-46cc-4d1b-8ea5-2fb4d85695c8/RoR6zCyocL7ORKDEkNU8_335x251_webp.webp,MUESTRA-447
F3638011,TARTARIN,2,C02N07P05,TARTARIN,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3638011-tartarin,https://static.pierrefrey.com/uploads/product/packshots/c0f3c60a-d8fd-4efa-92bc-85d7ec3d7520/0movSYIXP4ev0vk8iuJ4_335x251_webp.webp,MUESTRA-448
F3638012,TARTARIN,2,C02N07P05,TARTARIN,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3638012-tartarin,https://static.pierrefrey.com/uploads/product/packshots/73fa51d2-842f-4168-bce2-bb5aeb2c25ea/NGWAKofrbXjpoJcvDvbK_335x251_webp.webp,MUESTRA-449
F3638013,TARTARIN,2,C02N07P05,TARTARIN,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3638013-tartarin,https://static.pierrefrey.com/uploads/product/packshots/c0c5b2b2-928b-4809-b044-ec68684aef95/8Ghza4U2hjh9sJ8uuUOm_335x251_webp.webp,MUESTRA-450
F3638014,TARTARIN,2,C02N07P05,TARTARIN,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3638014-tartarin,https://static.pierrefrey.com/uploads/product/packshots/ac1aa17e-d157-4e70-8185-51fe5069e3c9/HUZE5DLyoPN3KohyrVHi_335x251_webp.webp,MUESTRA-451
F3638015,TARTARIN,2,C02N07P05,TARTARIN,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3638015-tartarin,https://static.pierrefrey.com/uploads/product/packshots/7e8cf21b-ff7d-46cb-80b1-a9617a27732f/LLzFn4mSEegpHCSqYzT2_335x251_webp.webp,MUESTRA-452
F3638016,TARTARIN,2,C02N07P05,TARTARIN,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3638016-tartarin,https://static.pierrefrey.com/uploads/product/packshots/49582fde-23a6-4406-8431-8a5bfed7e547/Ux6kSoFdJLgK71CE5a5S_335x251_webp.webp,MUESTRA-453
F3638017,TARTARIN,2,C02N07P05,TARTARIN,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3638017-tartarin,https://static.pierrefrey.com/uploads/product/packshots/46484288-6a4f-4e1f-80cd-5e9e5bd24eae/6nV7cEcll6bz7ugJCsTZ_335x251_webp.webp,MUESTRA-454
F3638018,TARTARIN,2,C02N07P05,TARTARIN,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3638018-tartarin,https://static.pierrefrey.com/uploads/product/packshots/4fbb6816-0f6d-47bf-bf8b-4100434cd77c/W2e9FHpq0sfjN9ep13Rc_335x251_webp.webp,MUESTRA-455
F3638019,TARTARIN,2,C02N07P06,TARTARIN,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3638019-tartarin,https://static.pierrefrey.com/uploads/product/packshots/5934f26b-251f-4535-af41-4f9951264670/7iOWDtRXaqPYOZ7Pteo6_335x251_webp.webp,MUESTRA-456
F3638020,TARTARIN,2,C02N07P06,TARTARIN,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3638020-tartarin,https://static.pierrefrey.com/uploads/product/packshots/8a2a4ea2-3c94-4e3d-b63d-85ab8698ad8d/ySrIOXUVZYKIwqbPPMgz_335x251_webp.webp,MUESTRA-457
F3638021,TARTARIN,2,C02N07P06,TARTARIN,PIERRE FREY ,TELA,,,https://www.pierrefrey.com/fr/tissus/F3638021-tartarin,https://static.pierrefrey.com/uploads/product/packshots/7c2c292c-f5d1-48e7-9881-7afbdc6430a1/u3KP34PNZFjXqsBLP3g1_335x251_webp.webp,MUESTRA-458
